thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture,person
"(0, 0, 0)","(0.696071, 0.0585755, 0.715579)","(0.319473, 0.323248, 0.890757)","(0.238217, 0.365259, 0.89991)","(0.8155, -0.230964, 0.530674)","(0.520731, -0.573384, 0.632511)","(0.604711, -0.44164, 0.662781)","(0.668076, -0.311458, 0.675773)","(0.740502, -0.200503, 0.641448)","(0.533263, 0.844295, -0.0528716)","(-0.606898, 0.450888, -0.654503)","(-0.841379, -0.132149, -0.524041)","(0.642906, -0.159538, 0.749146)","(0.570737, 0.818246, -0.0687927)","(-0.485235, 0.415669, -0.769263)","(-0.766212, -0.129455, -0.629412)","(0.525804, -0.155645, 0.836245)","(0.664434, 0.742777, -0.0825179)","(-0.233977, 0.25716, -0.937616)","(-0.60057, -0.218658, -0.769093)",fist,peter
"(0, 0, 0)","(0.695004, 0.0618701, 0.716339)","(0.317419, 0.326169, 0.890426)","(0.235804, 0.368129, 0.899376)","(0.815141, -0.227861, 0.532565)","(0.521142, -0.570304, 0.634952)","(0.604639, -0.438442, 0.664967)","(0.667595, -0.308257, 0.677713)","(0.739894, -0.197294, 0.643142)","(0.531485, 0.84534, -0.0540768)","(-0.606823, 0.447939, -0.656594)","(-0.84023, -0.135293, -0.525081)","(0.642033, -0.156281, 0.75058)","(0.569052, 0.819329, -0.069859)","(-0.484884, 0.41272, -0.77107)","(-0.764896, -0.132681, -0.630342)","(0.52478, -0.152434, 0.837478)","(0.662931, 0.744037, -0.0832511)","(-0.233007, 0.254352, -0.938623)","(-0.598829, -0.221862, -0.769533)",fist,peter
"(0, 0, 0)","(0.692341, 0.0658058, 0.718563)","(0.312827, 0.328608, 0.891154)","(0.230756, 0.370307, 0.899791)","(0.814234, -0.223583, 0.535754)","(0.521464, -0.567167, 0.637493)","(0.604222, -0.43493, 0.667646)","(0.666517, -0.304493, 0.68047)","(0.738452, -0.193237, 0.646025)","(0.527843, 0.847681, -0.0530967)","(-0.60647, 0.444466, -0.659275)","(-0.837705, -0.139674, -0.527959)","(0.640018, -0.15255, 0.753064)","(0.565595, 0.821817, -0.0687011)","(-0.483949, 0.409688, -0.773271)","(-0.762002, -0.136828, -0.632954)","(0.522436, -0.149139, 0.839534)","(0.659855, 0.746941, -0.0816751)","(-0.230757, 0.252276, -0.939738)","(-0.595032, -0.22541, -0.771444)",fist,peter
"(0, 0, 0)","(0.689443, 0.0688648, 0.721059)","(0.307875, 0.329744, 0.892458)","(0.225345, 0.371124, 0.900825)","(0.813255, -0.219837, 0.538783)","(0.521786, -0.564904, 0.639236)","(0.603776, -0.432277, 0.66977)","(0.665378, -0.301542, 0.682894)","(0.7369, -0.189917, 0.648775)","(0.52387, 0.85029, -0.0506717)","(-0.606106, 0.441797, -0.661401)","(-0.834971, -0.143535, -0.531245)","(0.637857, -0.149766, 0.755453)","(0.561818, 0.824614, -0.0661292)","(-0.482967, 0.407688, -0.774941)","(-0.758876, -0.140258, -0.635952)","(0.519927, -0.146974, 0.841472)","(0.656489, 0.750211, -0.078779)","(-0.22837, 0.251599, -0.940503)","(-0.590942, -0.227953, -0.773838)",fist,peter
"(0, 0, 0)","(0.694052, 0.0771139, 0.715783)","(0.314486, 0.342306, 0.885395)","(0.231976, 0.384255, 0.893608)","(0.815401, -0.214927, 0.53752)","(0.522978, -0.557233, 0.644969)","(0.60569, -0.424558, 0.67297)","(0.667921, -0.293952, 0.683721)","(0.739807, -0.182966, 0.647464)","(0.527164, 0.847125, -0.0669134)","(-0.608023, 0.43405, -0.664762)","(-0.838611, -0.148187, -0.524188)","(0.641549, -0.140731, 0.754062)","(0.564922, 0.821043, -0.0821703)","(-0.485674, 0.397658, -0.778453)","(-0.763103, -0.146866, -0.629368)","(0.524129, -0.136089, 0.840695)","(0.659197, 0.746047, -0.094199)","(-0.232699, 0.237904, -0.943002)","(-0.596338, -0.237425, -0.766818)",fist,peter
"(0, 0, 0)","(0.695113, 0.0783676, 0.714617)","(0.315968, 0.344549, 0.883997)","(0.233323, 0.386704, 0.8922)","(0.815729, -0.214345, 0.537254)","(0.522902, -0.556161, 0.645955)","(0.605812, -0.423557, 0.673491)","(0.668229, -0.293033, 0.683814)","(0.740296, -0.181968, 0.647186)","(0.528125, 0.846278, -0.0699851)","(-0.608225, 0.432837, -0.665368)","(-0.839368, -0.148702, -0.522827)","(0.642207, -0.139298, 0.753768)","(0.565843, 0.8201, -0.0851933)","(-0.486036, 0.395972, -0.779087)","(-0.763973, -0.147772, -0.628099)","(0.524888, -0.134258, 0.840516)","(0.660007, 0.744957, -0.0971097)","(-0.233442, 0.235421, -0.943442)","(-0.59747, -0.238942, -0.765465)",fist,peter
"(0, 0, 0)","(0.6958, 0.0790997, 0.713866)","(0.316869, 0.345869, 0.883158)","(0.234076, 0.388176, 0.891363)","(0.815923, -0.214004, 0.537096)","(0.522844, -0.555539, 0.646537)","(0.605856, -0.423001, 0.673802)","(0.668377, -0.292552, 0.683876)","(0.740584, -0.181384, 0.647021)","(0.528685, 0.845777, -0.0717853)","(-0.608346, 0.432124, -0.66572)","(-0.839813, -0.149002, -0.522027)","(0.642595, -0.13846, 0.753592)","(0.566384, 0.819541, -0.08696)","(-0.486246, 0.394987, -0.779455)","(-0.764483, -0.148301, -0.627354)","(0.525335, -0.133186, 0.840407)","(0.660481, 0.744313, -0.0988117)","(-0.233878, 0.233971, -0.943694)","(-0.598134, -0.239828, -0.764669)",fist,peter
"(0, 0, 0)","(0.696322, 0.0800919, 0.713246)","(0.317827, 0.348064, 0.881951)","(0.234934, 0.390613, 0.890072)","(0.815719, -0.213764, 0.537501)","(0.522032, -0.554557, 0.648035)","(0.605283, -0.422114, 0.674872)","(0.668041, -0.291765, 0.684539)","(0.740471, -0.180674, 0.647348)","(0.53013, 0.844632, -0.0745594)","(-0.607805, 0.431124, -0.666863)","(-0.840235, -0.149153, -0.521305)","(0.64259, -0.137251, 0.753817)","(0.567789, 0.818278, -0.089652)","(-0.485795, 0.393436, -0.78052)","(-0.764934, -0.1489, -0.626661)","(0.525368, -0.131505, 0.840652)","(0.661745, 0.742853, -0.101304)","(-0.233761, 0.231471, -0.944339)","(-0.59879, -0.241141, -0.763742)",fist,peter
"(0, 0, 0)","(0.696016, 0.0809541, 0.713448)","(0.317209, 0.348876, 0.881853)","(0.234124, 0.391458, 0.889914)","(0.815514, -0.212964, 0.538129)","(0.521887, -0.553917, 0.648699)","(0.605043, -0.421458, 0.675497)","(0.66773, -0.291111, 0.685121)","(0.740185, -0.179834, 0.647909)","(0.529741, 0.84485, -0.0748511)","(-0.607636, 0.430337, -0.667524)","(-0.839854, -0.149955, -0.521688)","(0.64222, -0.136386, 0.754289)","(0.56743, 0.8185, -0.0898908)","(-0.485531, 0.392642, -0.781084)","(-0.76449, -0.14973, -0.627006)","(0.524944, -0.130639, 0.841051)","(0.661426, 0.743119, -0.101438)","(-0.233324, 0.230685, -0.94464)","(-0.598219, -0.241984, -0.763923)",fist,peter
"(0, 0, 0)","(0.695828, 0.0815833, 0.71356)","(0.316774, 0.349473, 0.881773)","(0.233512, 0.392094, 0.889795)","(0.815364, -0.212379, 0.538587)","(0.521405, -0.553975, 0.649037)","(0.604467, -0.42171, 0.675855)","(0.667129, -0.29153, 0.685528)","(0.739976, -0.179221, 0.648317)","(0.529457, 0.845009, -0.0750649)","(-0.607513, 0.429763, -0.668006)","(-0.839576, -0.150541, -0.521967)","(0.64195, -0.135754, 0.754633)","(0.567171, 0.818661, -0.0900621)","(-0.485335, 0.392067, -0.781495)","(-0.764165, -0.150336, -0.627257)","(0.524634, -0.130006, 0.841343)","(0.661195, 0.743311, -0.101534)","(-0.233002, 0.230115, -0.944858)","(-0.5978, -0.242601, -0.764054)",fist,peter
"(0, 0, 0)","(0.694392, 0.0784506, 0.715308)","(0.314856, 0.34553, 0.88401)","(0.231421, 0.388164, 0.892061)","(0.814224, -0.214694, 0.539393)","(0.519591, -0.557496, 0.647475)","(0.602565, -0.425556, 0.675143)","(0.665228, -0.295572, 0.685645)","(0.738591, -0.182047, 0.649109)","(0.529472, 0.845429, -0.0700662)","(-0.606131, 0.432695, -0.667368)","(-0.838409, -0.148305, -0.524476)","(0.640326, -0.13908, 0.755407)","(0.567232, 0.819151, -0.0850888)","(-0.483689, 0.395546, -0.780761)","(-0.762766, -0.1476, -0.629604)","(0.52282, -0.133745, 0.841886)","(0.661288, 0.743873, -0.0967022)","(-0.230974, 0.234379, -0.944308)","(-0.596088, -0.239217, -0.766456)",fist,peter
"(0, 0, 0)","(-0.923298, -0.18072, 0.338911)","(-0.892314, -0.306073, 0.331806)","(-0.889981, -0.313429, 0.331204)","(-0.772744, 0.154365, 0.615661)","(-0.606449, 0.136842, 0.783258)","(-0.632472, 0.151073, 0.759708)","(-0.65547, 0.163896, 0.737223)","(-0.721543, 0.280463, 0.633022)","(-0.459969, 0.342892, 0.819057)","(-0.476894, 0.349219, 0.806609)","(-0.543518, 0.373273, 0.751835)","(-0.651323, 0.414115, 0.635835)","(-0.582107, 0.413829, 0.699926)","(-0.635304, 0.424936, 0.644839)","(-0.676483, 0.432208, 0.596294)","(-0.550012, 0.517359, 0.655612)","(-0.0297596, 0.545124, 0.837827)","(-0.822259, 0.550372, 0.144848)","(-0.739248, -0.0120812, -0.673326)",pinch,christina
"(0, 0, 0)","(-0.932602, -0.148459, 0.328959)","(-0.906428, -0.274835, 0.32071)","(-0.904376, -0.282269, 0.320044)","(-0.771685, 0.177495, 0.610736)","(-0.61023, 0.154753, 0.776963)","(-0.636472, 0.170914, 0.752125)","(-0.659248, 0.185235, 0.728753)","(-0.715801, 0.301315, 0.629951)","(-0.453687, 0.351519, 0.818903)","(-0.470242, 0.358633, 0.806384)","(-0.535392, 0.385848, 0.751316)","(-0.640491, 0.432105, 0.634867)","(-0.573152, 0.432877, 0.695783)","(-0.622356, 0.445813, 0.643369)","(-0.660533, 0.454712, 0.597439)","(-0.535443, 0.53112, 0.656668)","(-0.0174854, 0.536831, 0.843509)","(-0.802076, 0.579693, 0.143633)","(-0.733226, 0.0241517, -0.679556)",pinch,christina
"(0, 0, 0)","(-0.928719, -0.209962, 0.305611)","(-0.899963, -0.333564, 0.280716)","(-0.89776, -0.3408, 0.279074)","(-0.774013, 0.0790551, 0.628215)","(-0.611484, 0.042302, 0.790125)","(-0.638847, 0.0616704, 0.766858)","(-0.662385, 0.0788778, 0.745)","(-0.720654, 0.200367, 0.663709)","(-0.459271, 0.230508, 0.857867)","(-0.475993, 0.238874, 0.846386)","(-0.541794, 0.271792, 0.795354)","(-0.648045, 0.330882, 0.68597)","(-0.586551, 0.333866, 0.737897)","(-0.633022, 0.351387, 0.689791)","(-0.669035, 0.36456, 0.647679)","(-0.545017, 0.428287, 0.720783)","(-0.0383899, 0.421412, 0.906057)","(-0.818197, 0.534414, 0.212029)","(-0.733367, 0.0973719, -0.672824)",pinch,christina
"(0, 0, 0)","(-0.933971, -0.251401, 0.253959)","(-0.901805, -0.371961, 0.219983)","(-0.899396, -0.378995, 0.217828)","(-0.796407, 0.0124992, 0.604632)","(-0.637844, -0.0277597, 0.769665)","(-0.66647, -0.00558422, 0.745511)","(-0.690754, 0.0140544, 0.722954)","(-0.746838, 0.131378, 0.6519)","(-0.492894, 0.149961, 0.857069)","(-0.509388, 0.158952, 0.845729)","(-0.57409, 0.19481, 0.795279)","(-0.677776, 0.260875, 0.687433)","(-0.622414, 0.267223, 0.735658)","(-0.665492, 0.286914, 0.689058)","(-0.698682, 0.302144, 0.6485)","(-0.578052, 0.356887, 0.733817)","(-0.0951147, 0.346563, 0.933192)","(-0.842104, 0.494686, 0.214816)","(-0.70907, 0.137505, -0.691601)",pinch,christina
"(0, 0, 0)","(-0.946527, -0.238889, 0.216839)","(-0.916279, -0.358609, 0.178416)","(-0.913978, -0.365599, 0.176017)","(-0.812767, 0.00584523, 0.582559)","(-0.658673, -0.0349537, 0.751617)","(-0.687733, -0.00930429, 0.725904)","(-0.711988, 0.0131993, 0.702067)","(-0.761753, 0.12126, 0.636418)","(-0.513381, 0.124469, 0.849086)","(-0.529327, 0.134357, 0.837712)","(-0.591698, 0.174002, 0.787157)","(-0.690674, 0.247306, 0.679565)","(-0.641155, 0.257778, 0.722822)","(-0.680133, 0.279373, 0.677769)","(-0.710018, 0.296221, 0.638849)","(-0.590059, 0.338667, 0.732895)","(-0.137243, 0.311727, 0.940208)","(-0.843778, 0.498895, 0.197845)","(-0.682363, 0.183114, -0.707708)",pinch,christina
"(0, 0, 0)","(-0.951543, -0.232941, 0.20076)","(-0.922733, -0.351552, 0.158036)","(-0.920514, -0.35848, 0.15539)","(-0.817105, -0.00423802, 0.576473)","(-0.664699, -0.044536, 0.745783)","(-0.693532, -0.0169226, 0.720227)","(-0.717391, 0.00717652, 0.696634)","(-0.764847, 0.108287, 0.635046)","(-0.518116, 0.0997715, 0.849471)","(-0.533828, 0.110318, 0.838366)","(-0.595224, 0.152766, 0.788905)","(-0.692289, 0.231546, 0.683464)","(-0.647935, 0.24877, 0.719926)","(-0.684849, 0.271875, 0.676067)","(-0.713017, 0.289948, 0.638387)","(-0.59078, 0.319327, 0.740952)","(-0.151282, 0.278912, 0.948326)","(-0.841126, 0.499945, 0.206305)","(-0.675763, 0.221461, -0.703065)",pinch,christina
"(0, 0, 0)","(-0.958999, -0.234888, 0.158584)","(-0.929097, -0.352153, 0.112986)","(-0.926811, -0.358998, 0.110192)","(-0.83736, -0.0194478, 0.546305)","(-0.691247, -0.0564155, 0.720413)","(-0.719072, -0.027503, 0.694391)","(-0.741868, -0.00238312, 0.670542)","(-0.786839, 0.0908158, 0.610439)","(-0.548029, 0.0739892, 0.833181)","(-0.563293, 0.0849747, 0.821876)","(-0.622711, 0.129338, 0.771688)","(-0.715627, 0.212046, 0.665518)","(-0.675354, 0.235429, 0.698906)","(-0.709405, 0.259446, 0.65531)","(-0.735191, 0.278278, 0.618107)","(-0.615938, 0.297377, 0.729512)","(-0.191054, 0.247766, 0.949795)","(-0.847635, 0.494301, 0.192826)","(-0.653244, 0.251127, -0.714288)",pinch,christina
"(0, 0, 0)","(-0.974495, -0.191929, 0.116287)","(-0.947306, -0.311427, 0.0749931)","(-0.945173, -0.318427, 0.0724766)","(-0.863007, 0.0282422, 0.504403)","(-0.729206, 0.00259028, 0.684289)","(-0.753757, 0.0315329, 0.656396)","(-0.773576, 0.0564213, 0.631187)","(-0.811129, 0.137978, 0.568359)","(-0.584331, 0.11722, 0.803005)","(-0.598558, 0.128521, 0.790703)","(-0.653575, 0.173949, 0.736601)","(-0.737707, 0.257604, 0.624042)","(-0.698632, 0.284104, 0.656657)","(-0.728706, 0.307779, 0.611768)","(-0.751263, 0.326217, 0.573748)","(-0.63779, 0.34045, 0.690882)","(-0.229707, 0.278831, 0.932464)","(-0.835139, 0.531345, 0.14218)","(-0.612173, 0.263267, -0.74561)",pinch,christina
"(0, 0, 0)","(-0.968056, -0.218078, 0.123734)","(-0.940486, -0.332509, 0.0701655)","(-0.938333, -0.339195, 0.0669155)","(-0.848284, -0.0351578, 0.528373)","(-0.710241, -0.0631006, 0.701125)","(-0.736696, -0.0305295, 0.675534)","(-0.757936, -0.00258285, 0.652323)","(-0.796039, 0.0686183, 0.601343)","(-0.562261, 0.0286692, 0.826463)","(-0.576989, 0.0408868, 0.815728)","(-0.634156, 0.0904965, 0.767891)","(-0.722633, 0.183392, 0.66646)","(-0.688346, 0.215899, 0.692508)","(-0.718163, 0.24199, 0.652443)","(-0.740617, 0.262536, 0.618515)","(-0.62193, 0.260904, 0.73833)","(-0.209259, 0.182522, 0.960675)","(-0.837998, 0.500049, 0.218429)","(-0.640831, 0.327593, -0.694275)",pinch,christina
"(0, 0, 0)","(-0.971661, -0.213885, 0.100641)","(-0.94421, -0.326488, 0.0432721)","(-0.942063, -0.333067, 0.0398084)","(-0.856723, -0.0472031, 0.513612)","(-0.721769, -0.0745583, 0.688107)","(-0.748449, -0.0392417, 0.66203)","(-0.769645, -0.00903609, 0.638408)","(-0.804764, 0.0533196, 0.591195)","(-0.574884, 0.0029494, 0.81823)","(-0.58934, 0.0156888, 0.807733)","(-0.645334, 0.0675493, 0.760908)","(-0.731433, 0.164936, 0.661666)","(-0.701362, 0.202404, 0.683465)","(-0.72893, 0.229099, 0.645116)","(-0.749603, 0.250139, 0.612802)","(-0.631226, 0.238822, 0.737914)","(-0.226527, 0.149374, 0.962483)","(-0.837652, 0.498083, 0.22417)","(-0.629916, 0.360621, -0.687865)",pinch,christina
"(0, 0, 0)","(-0.973448, -0.206024, 0.0997643)","(-0.947035, -0.318433, 0.0415324)","(-0.944948, -0.325004, 0.0380179)","(-0.856757, -0.0434677, 0.513886)","(-0.722322, -0.0684091, 0.688165)","(-0.749719, -0.0309846, 0.66103)","(-0.77132, 0.000917183, 0.636447)","(-0.803857, 0.0560068, 0.59218)","(-0.574276, 0.00190257, 0.818659)","(-0.588626, 0.0148476, 0.808269)","(-0.644191, 0.0675528, 0.761876)","(-0.729492, 0.166437, 0.663431)","(-0.703643, 0.209881, 0.67885)","(-0.729721, 0.236069, 0.6417)","(-0.749235, 0.256655, 0.610552)","(-0.628582, 0.23886, 0.740155)","(-0.227212, 0.14449, 0.963067)","(-0.8333, 0.502784, 0.229827)","(-0.630433, 0.373361, -0.680555)",pinch,christina
"(0, 0, 0)","(-0.976676, -0.196592, 0.0863472)","(-0.950937, -0.308256, 0.0264077)","(-0.948888, -0.31479, 0.0227988)","(-0.862402, -0.0426693, 0.504423)","(-0.729046, -0.0718361, 0.680685)","(-0.756132, -0.0330831, 0.653583)","(-0.777399, -5.0416e-05, 0.629008)","(-0.809188, 0.054805, 0.584988)","(-0.58256, -0.00588642, 0.812767)","(-0.596655, 0.00740283, 0.802463)","(-0.651146, 0.0615445, 0.756453)","(-0.734317, 0.163111, 0.658919)","(-0.713658, 0.214874, 0.666725)","(-0.738228, 0.241485, 0.629844)","(-0.756468, 0.262313, 0.599123)","(-0.633388, 0.233018, 0.737918)","(-0.238789, 0.131308, 0.962153)","(-0.830433, 0.507648, 0.229509)","(-0.620808, 0.393407, -0.678106)",pinch,christina
"(0, 0, 0)","(-0.97775, -0.197216, 0.0714918)","(-0.951785, -0.306671, 0.00769926)","(-0.949721, -0.313073, 0.00386923)","(-0.866426, -0.059003, 0.495806)","(-0.732993, -0.0952527, 0.673534)","(-0.760305, -0.0547538, 0.647254)","(-0.781697, -0.0201722, 0.623332)","(-0.813635, 0.0353208, 0.580303)","(-0.588934, -0.0342373, 0.807456)","(-0.60292, -0.0205459, 0.797537)","(-0.65693, 0.0353816, 0.753121)","(-0.73911, 0.140659, 0.658735)","(-0.724313, 0.198913, 0.660155)","(-0.748151, 0.226887, 0.623532)","(-0.765697, 0.248731, 0.593162)","(-0.638652, 0.207374, 0.741026)","(-0.25174, 0.0992568, 0.962691)","(-0.832079, 0.500914, 0.238182)","(-0.615328, 0.419937, -0.667102)",pinch,christina
"(0, 0, 0)","(-0.977739, -0.198744, 0.0672863)","(-0.951443, -0.307809, 0.00296283)","(-0.949361, -0.314187, -0.000896543)","(-0.867919, -0.0627889, 0.49272)","(-0.734042, -0.100335, 0.671651)","(-0.761674, -0.0592456, 0.645246)","(-0.783295, -0.0241415, 0.621181)","(-0.815506, 0.0311197, 0.577912)","(-0.591443, -0.0394536, 0.805381)","(-0.605413, -0.0257212, 0.795496)","(-0.659348, 0.0303906, 0.751224)","(-0.741353, 0.136102, 0.65717)","(-0.731107, 0.199828, 0.652343)","(-0.75444, 0.22781, 0.615567)","(-0.771519, 0.249584, 0.585207)","(-0.641234, 0.20247, 0.740152)","(-0.260817, 0.0968436, 0.960518)","(-0.834174, 0.498838, 0.235191)","(-0.614969, 0.423646, -0.665084)",pinch,christina
"(0, 0, 0)","(-0.985022, -0.166876, 0.0434082)","(-0.959645, -0.28096, -0.0119536)","(-0.957613, -0.287654, -0.0152675)","(-0.886846, -0.0036607, 0.46205)","(-0.764816, -0.0287306, 0.643608)","(-0.790511, 0.0120032, 0.61233)","(-0.810268, 0.0465301, 0.58421)","(-0.834816, 0.0946864, 0.542326)","(-0.621422, 0.0346422, 0.78271)","(-0.634606, 0.0479995, 0.771344)","(-0.685193, 0.102215, 0.721153)","(-0.760524, 0.203059, 0.616742)","(-0.749105, 0.266987, 0.606266)","(-0.770335, 0.293071, 0.566298)","(-0.785674, 0.313184, 0.533509)","(-0.661579, 0.272498, 0.698611)","(-0.295246, 0.174227, 0.939401)","(-0.827014, 0.536683, 0.167387)","(-0.580212, 0.39293, -0.713414)",pinch,christina
"(0, 0, 0)","(-0.980531, -0.19458, 0.0263944)","(-0.951364, -0.306449, -0.0315593)","(-0.949109, -0.312995, -0.0350183)","(-0.891974, -0.0397588, 0.450336)","(-0.777524, -0.0626973, 0.62572)","(-0.803549, -0.0218736, 0.594837)","(-0.823487, 0.0127029, 0.567193)","(-0.843641, 0.0578308, 0.533785)","(-0.631623, -0.00266965, 0.775271)","(-0.64503, 0.0106172, 0.764083)","(-0.696469, 0.0647356, 0.71466)","(-0.77326, 0.166196, 0.611922)","(-0.764167, 0.231692, 0.60197)","(-0.785631, 0.258316, 0.562189)","(-0.801102, 0.278906, 0.529572)","(-0.677261, 0.236127, 0.696823)","(-0.311165, 0.142087, 0.939674)","(-0.842769, 0.509546, 0.173502)","(-0.585754, 0.397633, -0.706244)",pinch,christina
"(0, 0, 0)","(-0.978522, -0.205501, -0.016257)","(-0.946407, -0.312585, -0.0812634)","(-0.943978, -0.318841, -0.085119)","(-0.903833, -0.0809749, 0.420152)","(-0.798956, -0.111978, 0.590872)","(-0.824898, -0.0680565, 0.56117)","(-0.844542, -0.0308294, 0.534601)","(-0.859037, 0.0107723, 0.5118)","(-0.653242, -0.0650166, 0.754353)","(-0.666482, -0.0510835, 0.743768)","(-0.717137, 0.00597304, 0.696907)","(-0.79218, 0.113865, 0.599571)","(-0.78476, 0.18142, 0.592654)","(-0.805406, 0.210796, 0.553973)","(-0.820156, 0.233628, 0.522266)","(-0.699454, 0.178386, 0.692056)","(-0.339144, 0.0709787, 0.938053)","(-0.852849, 0.487275, 0.187646)","(-0.57322, 0.443436, -0.689045)",pinch,christina
"(0, 0, 0)","(-0.977281, -0.207351, -0.0438974)","(-0.943385, -0.312577, -0.110999)","(-0.94085, -0.318722, -0.114965)","(-0.912838, -0.0943824, 0.397264)","(-0.813209, -0.129406, 0.567403)","(-0.839271, -0.0833507, 0.537287)","(-0.858813, -0.0443118, 0.51037)","(-0.870399, -0.00501551, 0.492322)","(-0.669903, -0.0867793, 0.73736)","(-0.682943, -0.0725999, 0.726855)","(-0.732699, -0.0144284, 0.6804)","(-0.805851, 0.0958493, 0.584309)","(-0.800362, 0.167551, 0.575628)","(-0.820385, 0.198512, 0.536247)","(-0.834511, 0.222554, 0.504045)","(-0.715432, 0.158093, 0.680562)","(-0.360451, 0.0454216, 0.931672)","(-0.858024, 0.479859, 0.183114)","(-0.561406, 0.461377, -0.686989)",pinch,christina
"(0, 0, 0)","(-0.976643, -0.206306, -0.0600478)","(-0.94186, -0.310628, -0.128099)","(-0.939273, -0.316721, -0.132113)","(-0.918206, -0.0993486, 0.383442)","(-0.821288, -0.137508, 0.553695)","(-0.847422, -0.0900945, 0.52322)","(-0.866897, -0.0498847, 0.495984)","(-0.877046, -0.0112965, 0.480273)","(-0.679939, -0.0964585, 0.726897)","(-0.69283, -0.0821325, 0.716408)","(-0.741932, -0.0233157, 0.670069)","(-0.813736, 0.088285, 0.574491)","(-0.810547, 0.165859, 0.561698)","(-0.830557, 0.198821, 0.520236)","(-0.844433, 0.224314, 0.486432)","(-0.724624, 0.14918, 0.672804)","(-0.373659, 0.033243, 0.92697)","(-0.860284, 0.477426, 0.178818)","(-0.553618, 0.471556, -0.686398)",pinch,christina
"(0, 0, 0)","(-0.976044, -0.193064, -0.100327)","(-0.94025, -0.290874, -0.176981)","(-0.937603, -0.296587, -0.181484)","(-0.927069, -0.128045, 0.352346)","(-0.834097, -0.183224, 0.520299)","(-0.859665, -0.13232, 0.493424)","(-0.878558, -0.0890288, 0.469265)","(-0.887667, -0.0496266, 0.457805)","(-0.696572, -0.158631, 0.699731)","(-0.709155, -0.143304, 0.690336)","(-0.756914, -0.0801125, 0.648586)","(-0.826004, 0.0403593, 0.562217)","(-0.82533, 0.122838, 0.551128)","(-0.844091, 0.160023, 0.511764)","(-0.856876, 0.188845, 0.479688)","(-0.738828, 0.0912664, 0.667685)","(-0.396113, -0.0486607, 0.916912)","(-0.86179, 0.465485, 0.201598)","(-0.535237, 0.536795, -0.652206)",pinch,christina
"(0, 0, 0)","(-0.976697, -0.177982, -0.119942)","(-0.940865, -0.277351, -0.194548)","(-0.938216, -0.283164, -0.198919)","(-0.936763, -0.108008, 0.332879)","(-0.849092, -0.162993, 0.50247)","(-0.873574, -0.111083, 0.473844)","(-0.891406, -0.0670125, 0.448224)","(-0.898403, -0.0289168, 0.43822)","(-0.71465, -0.137997, 0.685734)","(-0.726757, -0.122586, 0.675868)","(-0.772489, -0.0591398, 0.632269)","(-0.83757, 0.061354, 0.542874)","(-0.837265, 0.145666, 0.527037)","(-0.854454, 0.183015, 0.486225)","(-0.86592, 0.211856, 0.4531)","(-0.751923, 0.11214, 0.649643)","(-0.418493, -0.0289498, 0.907758)","(-0.857907, 0.483148, 0.174825)","(-0.510662, 0.537091, -0.671385)",pinch,christina
"(0, 0, 0)","(-0.976811, -0.157252, -0.145301)","(-0.941093, -0.254941, -0.222146)","(-0.938451, -0.260664, -0.226637)","(-0.945234, -0.101639, 0.310164)","(-0.862518, -0.16287, 0.479099)","(-0.88575, -0.109012, 0.451179)","(-0.902411, -0.0633147, 0.4262)","(-0.907773, -0.0264323, 0.418628)","(-0.883765, 0.0686107, 0.462873)","(-0.924103, 0.287446, 0.25181)","(-0.905167, 0.411398, 0.106886)","(-0.847647, 0.0595753, 0.527206)","(-0.84595, 0.144155, 0.513408)","(-0.861605, 0.182948, 0.473462)","(-0.871859, 0.212919, 0.441053)","(-0.763422, 0.105627, 0.637205)","(-0.441556, -0.0451645, 0.896096)","(-0.852783, 0.495054, 0.166383)","(-0.483879, 0.564859, -0.668427)",pinch,christina
"(0, 0, 0)","(-0.965985, -0.152063, -0.209165)","(-0.927028, -0.258209, -0.271931)","(-0.924199, -0.264438, -0.275551)","(-0.969864, -0.0481079, 0.238849)","(-0.907049, -0.0870393, 0.411931)","(-0.926073, -0.0351543, 0.375703)","(-0.938915, 0.00848928, 0.344044)","(-0.939141, 0.0376206, 0.341466)","(-0.946522, 0.246674, 0.207962)","(-0.841406, 0.510916, -0.176072)","(-0.705186, 0.606158, -0.367812)","(-0.885529, 0.133633, 0.44495)","(-0.88018, 0.215877, 0.422706)","(-0.891423, 0.250455, 0.377675)","(-0.898147, 0.276967, 0.341498)","(-0.809196, 0.189596, 0.556108)","(-0.515021, 0.0629602, 0.854862)","(-0.848059, 0.528459, 0.0390694)","(-0.410367, 0.498578, -0.763557)",pinch,christina
