thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture,person
"(0, 0, 0)","(-0.885572, 0.357677, 0.296361)","(-0.84475, 0.421896, 0.329243)","(-0.779035, 0.505571, 0.370813)","(-0.821715, 0.565996, -0.0665811)","(-0.786762, 0.385103, 0.482391)","(-0.135431, -0.047276, 0.989658)","(0.397429, -0.332206, 0.855388)","(-0.737876, 0.673159, -0.0489464)","(-0.616271, 0.759998, -0.206429)","(-0.710874, 0.617301, 0.337042)","(-0.608636, 0.334119, 0.719671)","(-0.630029, 0.776161, -0.0252569)","(-0.50367, 0.833668, -0.226526)","(-0.649164, 0.721173, 0.241858)","(-0.642914, 0.47516, 0.600737)","(-0.510765, 0.858697, -0.0419401)","(-0.322166, 0.931734, -0.167572)","(-0.543438, 0.798274, 0.259681)","(-0.626429, 0.523564, 0.577466)",pinch,louis
"(0, 0, 0)","(-0.880009, 0.373485, 0.293415)","(-0.829552, 0.43953, 0.344466)","(-0.75087, 0.520284, 0.406816)","(-0.784681, 0.618914, -0.0349588)","(-0.795075, 0.364796, 0.48454)","(-0.198359, -0.17364, 0.964626)","(0.328585, -0.470452, 0.818967)","(-0.696638, 0.71742, 0.00203645)","(-0.560951, 0.81867, -0.122935)","(-0.69458, 0.602783, 0.392697)","(-0.627655, 0.258583, 0.734292)","(-0.585284, 0.809533, 0.045821)","(-0.43341, 0.891795, -0.129838)","(-0.613045, 0.729185, 0.304081)","(-0.647053, 0.441703, 0.621467)","(-0.461004, 0.886125, 0.0475199)","(-0.263031, 0.964025, -0.0383486)","(-0.516389, 0.780014, 0.35344)","(-0.631358, 0.465479, 0.620255)",pinch,louis
"(0, 0, 0)","(-0.886945, 0.350495, 0.300802)","(-0.831769, 0.41329, 0.370609)","(-0.746305, 0.486824, 0.453907)","(-0.772133, 0.635269, 0.015603)","(-0.813531, 0.30627, 0.494334)","(-0.244889, -0.315148, 0.916903)","(0.286949, -0.59756, 0.74872)","(-0.684803, 0.72523, 0.0713174)","(-0.545503, 0.838034, -0.0111563)","(-0.704165, 0.542248, 0.458386)","(-0.655525, 0.146303, 0.740865)","(-0.574672, 0.807336, 0.134019)","(-0.40392, 0.914641, -0.0167353)","(-0.608591, 0.700169, 0.373337)","(-0.668705, 0.376996, 0.640865)","(-0.44954, 0.879965, 0.153543)","(-0.245575, 0.964566, 0.0964665)","(-0.521833, 0.729801, 0.441679)","(-0.655735, 0.382614, 0.650859)",pinch,louis
"(0, 0, 0)","(-0.89193, 0.334897, 0.303816)","(-0.834462, 0.394899, 0.384353)","(-0.745447, 0.463411, 0.479124)","(-0.768859, 0.637934, 0.0435455)","(-0.815898, 0.253175, 0.51982)","(-0.23398, -0.41112, 0.881041)","(0.299074, -0.668633, 0.680797)","(-0.682671, 0.722621, 0.108533)","(-0.54234, 0.838549, 0.0519908)","(-0.71149, 0.50445, 0.489195)","(-0.671365, 0.0879296, 0.735892)","(-0.573933, 0.798761, 0.180508)","(-0.388625, 0.920382, 0.0432115)","(-0.604431, 0.686467, 0.40426)","(-0.679169, 0.353065, 0.643486)","(-0.44902, 0.868703, 0.209133)","(-0.242317, 0.955717, 0.166996)","(-0.528321, 0.697911, 0.483526)","(-0.670175, 0.3386, 0.660466)",pinch,louis
"(0, 0, 0)","(-0.901717, 0.310505, 0.300821)","(-0.844644, 0.366745, 0.389968)","(-0.755485, 0.430065, 0.494253)","(-0.7737, 0.630203, 0.0650595)","(-0.817998, 0.182391, 0.54554)","(-0.207038, -0.506154, 0.837224)","(0.32652, -0.72444, 0.607101)","(-0.689977, 0.710491, 0.138325)","(-0.548414, 0.830435, 0.0980863)","(-0.727003, 0.466949, 0.503413)","(-0.692774, 0.0366347, 0.720224)","(-0.583867, 0.781856, 0.218633)","(-0.389212, 0.916216, 0.0951941)","(-0.613017, 0.663498, 0.42893)","(-0.696271, 0.320949, 0.642027)","(-0.46028, 0.850134, 0.255764)","(-0.252562, 0.940515, 0.227256)","(-0.544355, 0.662491, 0.514572)","(-0.689481, 0.29471, 0.661636)",pinch,louis
"(0, 0, 0)","(-0.908474, 0.296162, 0.294897)","(-0.851782, 0.350541, 0.389345)","(-0.762587, 0.411198, 0.499377)","(-0.778051, 0.623968, 0.0727988)","(-0.815915, 0.128664, 0.563674)","(-0.169898, -0.568713, 0.804798)","(0.364439, -0.751719, 0.549639)","(-0.696193, 0.70188, 0.150597)","(-0.553626, 0.824134, 0.119586)","(-0.737586, 0.447745, 0.505461)","(-0.707502, 0.012921, 0.706593)","(-0.592044, 0.770716, 0.235546)","(-0.393427, 0.911176, 0.122369)","(-0.621305, 0.648305, 0.440092)","(-0.708286, 0.30141, 0.638343)","(-0.469559, 0.838128, 0.277588)","(-0.262222, 0.930038, 0.257428)","(-0.555953, 0.643188, 0.526522)","(-0.702208, 0.273789, 0.657224)",pinch,louis
"(0, 0, 0)","(-0.920005, 0.275992, 0.278242)","(-0.865796, 0.326409, 0.379283)","(-0.779067, 0.382134, 0.497019)","(-0.784514, 0.61518, 0.0780422)","(-0.826198, 0.0722568, 0.558727)","(-0.159313, -0.631417, 0.758902)","(0.380304, -0.780262, 0.496548)","(-0.706016, 0.68924, 0.162758)","(-0.561789, 0.814369, 0.145587)","(-0.755888, 0.421508, 0.500962)","(-0.733429, -0.0185159, 0.679514)","(-0.60543, 0.753968, 0.254924)","(-0.401315, 0.902592, 0.155803)","(-0.636645, 0.62804, 0.447492)","(-0.730542, 0.277526, 0.623929)","(-0.484991, 0.819664, 0.304852)","(-0.278747, 0.913112, 0.297535)","(-0.576635, 0.615025, 0.537806)","(-0.72502, 0.244317, 0.643937)",pinch,louis
"(0, 0, 0)","(-0.922041, 0.280448, 0.266812)","(-0.869513, 0.319874, 0.376334)","(-0.784418, 0.361604, 0.503915)","(-0.768202, 0.631562, 0.10486)","(-0.838178, 0.0260192, 0.544775)","(-0.180314, -0.711463, 0.679196)","(0.360761, -0.836534, 0.412385)","(-0.691253, 0.694564, 0.199375)","(-0.538765, 0.817961, 0.201676)","(-0.75893, 0.410705, 0.505319)","(-0.764849, -0.0351917, 0.643247)","(-0.592853, 0.746823, 0.301298)","(-0.382022, 0.896288, 0.225227)","(-0.634617, 0.60881, 0.476038)","(-0.74726, 0.253839, 0.61414)","(-0.472764, 0.803352, 0.362105)","(-0.265234, 0.889221, 0.372742)","(-0.578552, 0.584357, 0.569038)","(-0.742334, 0.216461, 0.634102)",pinch,louis
"(0, 0, 0)","(-0.917169, 0.28632, 0.277168)","(-0.862939, 0.324925, 0.386988)","(-0.775768, 0.365395, 0.514462)","(-0.76223, 0.636928, 0.115446)","(-0.830711, 0.0256506, 0.556112)","(-0.173997, -0.716948, 0.675063)","(0.362154, -0.841933, 0.399991)","(-0.683913, 0.698815, 0.209573)","(-0.530417, 0.820997, 0.211239)","(-0.749869, 0.41833, 0.512539)","(-0.760531, -0.0235713, 0.648873)","(-0.584162, 0.749752, 0.310849)","(-0.373988, 0.897647, 0.233157)","(-0.625057, 0.612975, 0.483286)","(-0.739351, 0.261199, 0.620592)","(-0.463072, 0.805014, 0.370832)","(-0.255659, 0.888878, 0.380177)","(-0.56822, 0.586708, 0.576975)","(-0.734047, 0.22171, 0.641888)",pinch,louis
"(0, 0, 0)","(-0.910769, 0.290314, 0.29363)","(-0.854254, 0.326778, 0.404309)","(-0.76428, 0.364362, 0.532086)","(-0.754665, 0.641928, 0.135681)","(-0.821156, 0.0200421, 0.570352)","(-0.168385, -0.729524, 0.662904)","(0.360936, -0.852819, 0.377391)","(-0.674624, 0.701454, 0.229881)","(-0.521243, 0.82161, 0.230788)","(-0.73815, 0.426269, 0.522905)","(-0.756528, -0.00679901, 0.653926)","(-0.573169, 0.749708, 0.330778)","(-0.365393, 0.896225, 0.251533)","(-0.61254, 0.615358, 0.496114)","(-0.728864, 0.27015, 0.629107)","(-0.450839, 0.802799, 0.390202)","(-0.245854, 0.883795, 0.398072)","(-0.554762, 0.58553, 0.591095)","(-0.722417, 0.227274, 0.65304)",pinch,louis
